City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Hithadhoo,MV,82.26,overcast clouds,-0.6,73.0833,Scoop Guest House
15,Mekhe,SN,81.16,overcast clouds,15.1097,-16.6218,Chez ain
17,Bandarbeyla,SO,78.64,scattered clouds,9.4942,50.8122,JABIR HOTEL
25,Wewak,PG,78.87,moderate rain,-3.5534,143.6268,In Wewak Boutique Hotel
36,Bubaque,GW,82.78,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
50,Tayu,ID,79.63,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
55,Hilo,US,83.25,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
61,Maturin,VE,81.32,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
62,Kokopo,PG,79.39,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
69,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
75,Kapaa,US,82.47,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
84,Sola,VU,80.56,few clouds,-13.8833,167.55,Leumerus Bungalows
85,Abu Dhabi,AE,84.22,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
90,Ugoofaaru,MV,81.55,overcast clouds,5.6667,73.0,Ungoofaaru Inn
91,Saint George,US,81.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
93,Cabo San Lucas,MX,87.62,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
103,Butaritari,KI,81.36,light rain,3.0707,172.7902,Isles Sunset Lodge
112,Atuona,PF,78.6,clear sky,-9.8,-139.0333,Villa Enata
120,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
121,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
133,Lazaro Cardenas,MX,83.62,overcast clouds,17.9583,-102.2,quinta antigua
141,Faanui,PF,78.64,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
144,Phangnga,TH,81.91,overcast clouds,8.4509,98.5298,Sunimit Mansion
155,Tutoia,BR,85.98,few clouds,-2.7619,-42.2744,Pousada Guará's
160,Bowen,AU,80.24,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
164,Madang,PG,78.03,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
172,Lorengau,PG,81.3,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
189,Hambantota,LK,78.13,scattered clouds,6.1241,81.1185,Bungalow 63
198,Kavieng,PG,83.8,light rain,-2.5744,150.7967,Nusa Island Retreat
199,Sao Gabriel Da Cachoeira,BR,84.6,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
208,Sinnamary,GF,79.05,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
220,Pitimbu,BR,81.19,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
227,Lamu,KE,80.82,few clouds,-2.2717,40.902,Lamu House
236,Porto Novo,BJ,84.02,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
239,Sabang,ID,80.64,overcast clouds,5.8933,95.3214,Hotel Citra
246,Gat,IL,83.08,scattered clouds,31.61,34.7642,OlusHome
249,Aswan,EG,83.98,overcast clouds,24.0934,32.907,Nuba Nile
262,Itarema,BR,80.58,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
267,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
272,Pangai,TO,78.91,few clouds,-19.8,-174.35,Ha'apai Beach Resort
278,Jardim,BR,83.17,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
283,Santo Antonio Do Ica,BR,87.55,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
292,Kavaratti,IN,81.16,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
299,Arlit,NE,83.61,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
301,Tual,ID,83.98,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
305,Port Blair,IN,80.06,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
307,San Patricio,US,88.21,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
308,Fuerte Olimpo,PY,87.46,broken clouds,-21.0415,-57.8738,Hospedaje DAMI
309,Jaru,BR,79.83,broken clouds,-10.4389,-62.4664,Hotel Paraná
311,Dhidhdhoo,MV,81.34,overcast clouds,6.8833,73.1,Dhidhoo beach
312,Kandrian,PG,79.86,broken clouds,-6.2167,149.55,Kandrian Station
316,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
317,Labuhan,ID,80.6,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
318,Kudahuvadhoo,MV,82.11,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
319,Namatanai,PG,80.67,light rain,-3.6667,152.4333,Seagulls Inn Namatani
327,Yarada,IN,78.98,scattered clouds,17.65,83.2667,Vishranti
329,Mana,GF,80.26,broken clouds,5.6592,-53.7767,LE SAMANA
331,La Asuncion,VE,80.71,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
336,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
340,Bosaso,SO,81.01,scattered clouds,11.2842,49.1816,Red Sea Hotel
341,Cockburn Town,TC,84.16,few clouds,21.4612,-71.1419,Osprey Beach Hotel
