City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,51.91,62,0,17.27,clear sky
1,Puerto Ayora,EC,-0.7393,-90.3518,75.16,79,40,8.43,scattered clouds
2,Katangli,RU,51.7102,143.2326,24.3,76,11,7.76,few clouds
3,Kaitangata,NZ,-46.2817,169.8464,53.58,52,77,7.34,broken clouds
4,Carnarvon,AU,-24.8667,113.6333,66.27,68,90,18.41,overcast clouds
5,Bluff,NZ,-46.6,168.3333,54.01,68,95,24.29,light rain
6,Saint-Joseph,RE,-21.3667,55.6167,68.38,85,16,9.66,few clouds
7,Chokurdakh,RU,70.6333,147.9167,-11.33,100,99,5.95,overcast clouds
8,Lebu,CL,-37.6167,-73.65,57.34,77,96,8.66,overcast clouds
9,Codrington,AU,-38.2667,141.9667,48.31,88,8,4.79,clear sky
10,Hithadhoo,MV,-0.6,73.0833,82.26,76,100,18.1,overcast clouds
11,Cape Town,ZA,-33.9258,18.4232,66.09,68,100,1.99,overcast clouds
12,Busselton,AU,-33.65,115.3333,54.09,65,93,20.04,overcast clouds
13,Bengkulu,ID,-3.8004,102.2655,76.23,88,100,5.01,light rain
14,Sawtell,AU,-30.3833,153.1,64.42,77,90,4.61,overcast clouds
15,Mekhe,SN,15.1097,-16.6218,81.16,59,100,11.21,overcast clouds
16,Ancud,CL,-41.8697,-73.8203,71.13,60,61,8.1,broken clouds
17,Bandarbeyla,SO,9.4942,50.8122,78.64,80,28,13.13,scattered clouds
18,Ushuaia,AR,-54.8,-68.3,55.06,44,0,6.91,clear sky
19,Qasigiannguit,GL,68.8193,-51.1922,34.05,90,100,9.53,overcast clouds
20,Plettenberg Bay,ZA,-34.0527,23.3716,64.24,83,94,9.62,overcast clouds
21,Souillac,MU,-20.5167,57.5167,71.98,83,40,3.44,scattered clouds
22,Narsaq,GL,60.9167,-46.05,26.82,69,82,6.71,broken clouds
23,Lumut,MY,4.2323,100.6298,77.36,94,20,0.0,few clouds
24,Esso,RU,55.9333,158.7,8.55,94,84,8.16,broken clouds
25,Wewak,PG,-3.5534,143.6268,78.87,84,100,2.15,moderate rain
26,Nome,US,64.5011,-165.4064,21.27,69,1,0.0,clear sky
27,Albany,US,42.6001,-73.9662,59.36,75,98,1.01,overcast clouds
28,Chuy,UY,-33.6971,-53.4616,69.04,84,45,10.02,scattered clouds
29,Cocobeach,GA,1.0002,9.5823,77.85,85,100,7.52,light rain
30,Ahipara,NZ,-35.1667,173.1667,60.37,66,65,10.87,light rain
31,Hasaki,JP,35.7333,140.8333,57.29,84,99,9.42,overcast clouds
