City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Alfred,ZA,2021-10-31 18:09:00,-33.5906,26.891,67.28,86,72,18.1
1,East London,ZA,2021-10-31 18:08:01,-33.0153,27.9116,67.89,82,63,13.53
2,Bereda,ES,2021-10-31 18:09:01,43.2686,-7.5406,57.42,94,100,4.72
3,Ponta Do Sol,PT,2021-10-31 18:09:01,32.6667,-17.1,75.7,80,40,7.14
4,Puerto Ayora,EC,2021-10-31 18:09:02,-0.7393,-90.3518,75.16,79,79,9.62
5,Abeokuta,NG,2021-10-31 18:09:03,7.15,3.35,81.73,70,100,4.54
6,Butaritari,KI,2021-10-31 18:09:03,3.0707,172.7902,80.8,78,41,9.53
7,Daru,PG,2021-10-31 18:09:04,-9.0763,143.2092,79.16,89,96,10.98
8,Torbay,CA,2021-10-31 18:09:04,47.6666,-52.7314,47.28,91,23,1.99
9,Sal Rei,CV,2021-10-31 18:05:20,16.1833,-22.9167,82.6,65,75,16.11
10,Albany,US,2021-10-31 18:09:05,42.6001,-73.9662,61.36,78,93,11.83
11,Avera,US,2021-10-31 18:09:05,33.194,-82.5271,70.48,49,4,10.07
12,San Vicente,AR,2021-10-31 18:09:09,-26.6167,-54.1333,81.77,50,25,1.68
13,Hermanus,ZA,2021-10-31 18:09:09,-34.4187,19.2345,63.9,82,97,9.15
14,Cidreira,BR,2021-10-31 18:09:10,-30.1811,-50.2056,71.51,79,20,20.87
15,Ulefoss,NO,2021-10-31 18:09:13,59.2838,9.2646,54.32,95,65,3.02
16,Hasaki,JP,2021-10-31 18:09:14,35.7333,140.8333,57.6,89,100,5.55
17,Port Elizabeth,ZA,2021-10-31 18:09:14,-33.918,25.5701,66.29,87,85,12.71
18,Busselton,AU,2021-10-31 18:09:15,-33.65,115.3333,51.04,83,89,16.33
19,Tasiilaq,GL,2021-10-31 18:09:15,65.6145,-37.6368,24.96,64,99,4.5
20,Jamestown,US,2021-10-31 18:09:16,42.097,-79.2353,54.01,93,90,7.0
21,Geraldton,AU,2021-10-31 18:09:16,-28.7667,114.6,62.13,72,100,9.22
22,Chuy,UY,2021-10-31 18:09:17,-33.6971,-53.4616,75.27,70,92,8.9
23,Victoria,HK,2021-10-31 18:05:52,22.2855,114.1577,76.32,82,87,1.01
